,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,KO,KO,KO,KO,KO,KO,KO,GE,GE,GE,GE,GE,GE,GE,JPM,JPM,JPM,JPM,JPM,JPM,JPM,MMM,MMM,MMM,MMM,MMM,MMM,MMM
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-04 00:00:00-05:00,21.477578590947687,22.345335263732476,21.441522219502335,21.691513061523438,69305200,0.0,0.0,0.3169231610103903,0.317863507056584,0.3009361230705248,0.31034061312675476,952884800,0.0,0.0,16.487912256994914,16.94932771194813,16.27258504468341,16.534053802490234,7358200,0.0,0.0,87.03817239837957,88.86265254669806,85.42834372711029,86.34058380126953,3565993,0.0,0.0,22.15520964500866,22.70810317993164,22.09597111654607,22.70810317993164,7798800,0.24,0.0,14.74112092125775,15.352151994346375,14.702931479189711,15.199394226074219,4378556,0.0,0.0
1999-01-05 00:00:00-05:00,21.8261160215827,22.76838887185367,21.758810817991915,22.537628173828125,64281600,0.0,0.0,0.31551262415614945,0.33055929128719197,0.31222133758187065,0.3258574604988098,1410113600,0.0,0.0,16.53406309233868,16.949337235123,16.426399425690892,16.872434616088867,6733800,0.0,0.0,86.34055998891124,88.37967465001417,85.96493230908588,88.16503143310547,2633962,0.0,0.0,22.31319677110241,22.88583755493164,22.31319677110241,22.88583755493164,6532050,0.0,0.0,15.2248488755049,15.632202791023536,15.17392963606507,15.288497924804688,2952446,0.0,0.0
1999-01-06 00:00:00-05:00,22.999163950770356,23.306845073857584,22.576102406525415,23.26838493347168,69064800,0.0,0.0,0.3319697762078216,0.3319697762078216,0.30845896906947134,0.31410202383995056,1348569600,0.0,0.0,16.87242484347252,17.318459775524207,16.73400020938751,17.28769874572754,9957800,0.0,0.0,88.54066812609497,90.04317899834734,88.16504040803189,89.88219451904297,3226584,0.0,0.0,23.063540753622807,23.43871699949828,23.004302208714375,23.379478454589844,9776250,0.0,0.0,15.453990363842985,16.001373291015625,15.441260549937839,16.001373291015625,3790602,0.0,0.0
1999-01-07 00:00:00-05:00,23.037617582023344,23.172228035340677,22.806856804907916,23.152997970581055,51150400,0.0,0.0,0.31786361010646363,0.33902351241845996,0.3169232637554141,0.3385533392429352,1429019200,0.0,0.0,17.226183708458738,17.226183708458738,16.795529115747268,17.087759017944336,6032000,0.0,0.0,88.54065364242332,89.23825020498082,87.52109637486546,88.37966918945312,2562850,0.0,0.0,23.18201614768568,24.386531934169447,22.905568419790395,24.3470401763916,10692750,0.0,0.0,15.683131910372444,15.695860799000194,15.352156645508927,15.63221263885498,2598908,0.0,0.0
1999-01-08 00:00:00-05:00,23.412602800841725,23.46067796059705,22.614555148903385,23.056846618652344,50244800,0.0,0.0,0.3503087484498093,0.3526596645515613,0.33102956395197614,0.3385533392429352,678832000,0.0,0.0,17.072384182144614,17.072384182144614,16.441782604245578,16.734012603759766,8961600,0.0,0.0,88.32602261147571,88.91629355308824,86.17958207825366,87.89673614501953,3205112,0.0,0.0,24.208828796119725,24.485276666569845,23.616443084894794,23.853397369384766,8113050,0.0,0.0,15.581288553346402,15.886804088059181,15.263043204687257,15.708586692810059,3070132,0.0,0.0
1999-01-11 00:00:00-05:00,23.21069638365406,23.220311419438506,22.191502590502722,22.691484451293945,46463200,0.0,0.0,0.3441952287014924,0.34654614282866775,0.33761268421262725,0.3451355993747711,560974400,0.0,0.0,16.51867862004882,16.51867862004882,16.05726301613684,16.25720977783203,10087600,0.0,0.0,86.71618506867641,87.89672682674768,84.83804672586288,85.58930206298828,3738327,0.0,0.0,23.81389750656122,24.56425188343257,23.73491216927372,24.090343475341797,10198200,0.0,0.0,15.810425153187097,16.103209943754152,15.504909619463573,16.001373291015625,2812514,0.0,0.0
1999-01-12 00:00:00-05:00,22.787632961063593,22.787632961063593,21.691518970531423,21.874204635620117,57907200,0.0,0.0,0.34842705750320946,0.3507788014976979,0.33196982172877293,0.34701651334762573,820736000,0.0,0.0,16.257215980813974,16.380260188805,16.057269142828563,16.103410720825195,8370000,0.0,0.0,85.42834582637094,86.0722756705136,83.389230552781,83.92583465576172,3362736,0.0,0.0,23.853383024832556,23.873129805937637,23.221505915452987,23.339982986450195,10746300,0.0,0.0,15.78496579143376,16.07775058693573,15.708586906715508,15.835885047912598,2490311,0.0,0.0
1999-01-13 00:00:00-05:00,20.922306728901834,22.729932494082693,20.922306728901834,22.12418556213379,75346000,0.0,0.0,0.32256619485942906,0.35595081526346967,0.31786351032202426,0.3498384654521942,1047816000,0.0,0.0,16.103403638216133,16.13416467668455,15.65736858042409,16.041881561279297,8561400,0.0,0.0,81.56474629568699,84.56976848718101,80.75983198037754,82.9062728881836,4407256,0.0,0.0,21.799776726368208,23.06353250151672,21.641807932405747,22.62911605834961,13639350,0.0,0.0,15.479449388411155,15.504909015229273,15.186663680002786,15.326691627502441,2676409,0.0,0.0
1999-01-14 00:00:00-05:00,22.34534004588186,22.393415218097612,21.768437979292827,21.80689811706543,59214000,0.0,0.0,0.342314663526271,0.3460761227672291,0.30892919214034187,0.3112809360027313,1723859200,0.0,0.0,16.01111990729655,16.01111990729655,15.44204071750791,15.626606941223145,10179400,0.0,0.0,83.28189726502626,84.35512177562342,82.69162624448049,83.33555603027344,3168054,0.0,0.0,22.352681780045444,22.411920334402616,21.444356677296398,21.562833786010742,7469550,0.0,0.0,15.275770233068222,15.275770233068222,14.677469086690369,14.69019889831543,3614790,0.0,0.0
